017
num-fields|57
id|int32
image_x|int32
image_y|int32
image_w|int32
image_h|int32
src_x|int32
src_y|int32
src_image|int32
cal_image|int32
ppc|int32
camera|int32
cal_const|double
fringe_size|double
raw_area|double
raw_feret_max|double
raw_feret_min|double
raw_feret_mean|double
raw_perimeter|double
raw_convex_perimeter|double
abd_area|double
abd_diameter|double
length|double
width|double
esd_diameter|double
aspect_ratio|double
perimeter|double
convex_perimeter|double
intensity|double
sigma_intensity|double
sum_intensity|double
compactness|double
elongation|double
roughness|double
edge_gradient|double
circle_fit|double
symmetry|double
circularity_hu|double
intensity_calimage|double
raw_convex_hull_area|double
raw_filled_area|double
filled_area|double
feret_max_angle|double
feret_min_angle|double
avg_red|double
avg_green|double
avg_blue|double
ch1_peak|double
ch1_width|double
ch1_area|double
ch2_peak|double
ch2_width|double
ch2_area|double
ch3_peak|double
ch3_width|double
ch3_area|double
timestamp|timestamp
collage_file|string
1|0|0|25|75|978|641|261|1|1|0|0.5545|4.5000|873.0000|67.0000|17.0000|47.5339|158.3820|149.4269|200.8517|15.9916|34.6563|6.9313|23.8623|0.2492|87.8228|80.3620|89.6919|27.2831|78301.0000|2.2866|4.9828|1.0867|24.9216|0.0749|0.8301|0.4608|101.9587|869.5000|873.0000|200.8517|90.0000|0.0000|87.8580|90.7171|89.4341|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:40:43.475|P02_Jan2015_000001.tif
2|27|0|37|53|242|372|348|1|1|0|0.5545|4.5000|893.0000|45.3734|28.7483|38.0544|130.9040|119.6273|206.1758|16.2022|22.6643|13.4457|18.6059|0.5932|72.5863|63.8381|90.2643|31.5889|80606.0000|1.5270|2.3765|1.1278|39.0000|0.5540|0.6935|0.8470|97.5586|934.5000|893.0000|206.1758|80.0000|10.0000|88.4434|91.7480|87.4110|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:40:47.823|P02_Jan2015_000001.tif
3|66|0|32|31|545|20|371|1|1|0|0.5545|4.5000|389.0000|26.4822|22.2132|24.2682|82.0380|76.2893|76.1272|9.8452|12.1891|9.8220|10.9615|0.9162|45.4901|39.8072|90.3316|26.2757|35139.0000|1.3768|1.7558|1.1278|29.0533|0.8324|0.6912|0.9716|98.5290|397.0000|389.0000|76.1272|40.0000|-45.0000|87.1388|91.2879|93.6401|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:40:48.974|P02_Jan2015_000001.tif
4|100|0|97|136|650|767|402|1|1|0|0.5545|4.5000|6757.0000|128.0000|83.6467|111.6987|498.6740|351.1347|1880.8773|48.9368|68.4808|43.8868|59.4417|0.6401|276.5147|192.2090|71.7133|21.3174|484567.0000|2.7646|6.5321|1.7578|46.5336|0.4315|0.5847|0.8539|102.2451|8528.5000|7158.0000|1998.2773|90.0000|-5.0000|76.2338|72.0816|58.4652|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:40:50.523|P02_Jan2015_000001.tif
5|199|0|76|106|1107|84|550|1|1|0|0.5545|4.5000|4287.0000|100.2687|67.2343|88.5836|389.6040|278.4704|1162.4440|38.4717|53.1037|34.7862|46.6244|0.6049|216.0354|151.9166|75.9533|23.9035|325612.0000|2.6896|6.2908|1.6857|57.9294|0.2497|0.3321|0.8047|98.4800|5386.0000|4491.0000|1221.3919|75.0000|5.0000|83.7707|76.7087|51.6886|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:40:57.924|P02_Jan2015_000001.tif
6|277|0|45|39|199|671|618|1|1|0|0.5545|4.5000|526.0000|40.3890|30.4277|34.5585|143.3500|108.6378|110.3745|11.8547|19.9004|14.3769|16.6675|0.8475|79.4876|57.7444|81.6502|25.3791|42948.0000|2.6590|6.1918|1.6922|50.1203|0.4848|0.2864|0.7990|98.9956|742.5000|615.0000|133.1669|25.0000|-80.0000|80.7186|82.4943|79.9068|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:01.326|P02_Jan2015_000001.tif
7|324|0|232|149|363|795|621|1|1|0|0.5545|4.5000|10004.0000|224.8945|137.6551|188.2577|670.9660|591.8047|2835.5339|60.0859|122.2088|73.8345|101.8937|0.5425|372.0506|325.6604|106.2246|27.4258|1062671.0000|1.6470|2.8195|3.7167|46.0599|0.2648|0.6267|0.7993|100.8285|23397.5000|21752.0000|6331.2899|5.0000|-80.0000|106.9878|106.1505|104.6590|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:01.472|P02_Jan2015_000001.tif
8|558|0|25|38|476|236|906|1|1|0|0.5545|4.5000|322.0000|30.1511|17.0000|24.2110|81.7960|76.1093|59.8889|8.7323|14.2235|6.9313|10.9297|0.5784|45.3559|39.7073|89.7205|21.6639|28890.0000|1.6535|2.8428|1.1273|39.0789|0.5534|0.4983|0.7777|99.1725|336.0000|322.0000|59.8889|-85.0000|0.0000|90.2702|89.9752|87.2547|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:15.723|P02_Jan2015_000001.tif
9|585|0|181|102|340|161|1020|1|1|0|0.5545|4.5000|9690.0000|175.7700|93.5459|138.1575|562.8900|434.3101|2742.8684|59.0959|94.9692|49.3759|74.1131|0.4782|312.1225|238.3297|67.6104|29.1203|655145.0000|2.6020|6.0081|1.3053|40.4221|0.1707|0.6677|0.7127|98.2944|11835.5000|9690.0000|2742.8684|10.0000|85.0000|71.5399|68.0118|55.3680|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:21.426|P02_Jan2015_000001.tif
10|768|0|41|36|941|131|1079|1|1|0|0.5545|4.5000|570.0000|33.2269|26.6050|30.7625|107.1080|96.7047|121.5980|12.4428|15.9290|12.2572|14.5626|0.8675|59.3914|51.1275|87.3404|25.4782|49784.0000|1.6016|2.6550|1.1490|42.7551|0.7537|0.6543|0.9411|100.9426|619.0000|570.0000|121.5980|5.0000|80.0000|87.7770|87.9948|84.9129|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|0.0000|2015-01-30T21:41:24.374|P02_Jan2015_000001.tif
